name,market_value_in_eur
Player_208,6055897
Player_209,6065073
Player_210,332875062
Player_211,6485429
Player_212,12770888
Player_213,10270662
Player_214,7143186
Player_215,2239306
Player_216,8127492
Player_217,1293173
Player_218,2460358
Player_219,1825863
Player_220,3606502
Player_221,52566536
Player_222,347764
Player_223,7448418
Player_224,472003
Player_225,1855531
Player_226,12076122
Player_227,3531156
Player_228,896905
Player_229,1385588
Player_230,7389105
Player_231,1360768
Player_232,4238628
Player_233,3452766
Player_234,1495662
Player_235,42829295
Player_236,6994976
Player_237,287744
Player_238,4088730
Player_239,1477491
Player_240,9092132
Player_241,1262968
Player_242,2848537
Player_243,5992293
Player_244,9238649
Player_245,774245
Player_246,2188218
Player_247,1848833
Player_248,1492562
Player_249,27195038
Player_250,5314651
Player_251,719951
Player_252,9834767
Player_253,41724015
Player_254,11284699
Player_255,527949
Player_256,1828340
Player_257,14951069
Player_258,1398340
Player_259,5568205
Player_260,8281716
Player_261,1074841
Player_262,3043654
Player_263,66868
Player_264,956211
Player_265,2414295
Player_266,731359
Player_267,23182159
Player_268,587616
Player_269,1927909
Player_270,3824310
Player_271,18430693
Player_272,583596
Player_273,13200912
Player_274,3309407
Player_275,1006701
Player_276,5691726
Player_277,4151049
Player_278,1590787
Player_279,3554633
Player_280,2058779
Player_281,3746081
Player_282,7235838
Player_283,21926799
Player_284,740159
Player_285,42272192
Player_286,314108
Player_287,2724670
Player_288,6622481
Player_289,4579911
Player_290,1548443
Player_291,2546558
Player_292,1809206
Player_293,1611639
Player_294,9061294
Player_295,5017380
Player_296,1423328
Player_297,9621587
Player_298,4726802
Player_299,8670478
Player_300,6959057
Player_301,1208881
Player_302,1669079
Player_303,8014414
Player_304,6800075
Player_305,3188043
Player_306,3763247
Player_307,15145255
Player_308,1607377
Player_309,6302877
Player_310,2564742
Player_311,2517514
Player_312,12219361
Player_313,8802088
Player_314,8677218
Player_315,15659284
Player_316,3352458
Player_317,7410019
Player_318,2252789
Player_319,4823448
Player_320,2796357
Player_321,3672543
Player_322,6677060
Player_323,1224612
Player_324,40259829
Player_325,977524
Player_326,761445
Player_327,13121111
Player_328,8452689
Player_329,6913204
Player_330,6948348
Player_331,3221326
Player_332,1113807
Player_333,3580329
Player_334,1450481
Player_335,10534263
Player_336,2740171
Player_337,1213966
Player_338,2222930
Player_339,5365594
Player_340,1661997
Player_341,1218749
Player_342,4379410
Player_343,4386138
Player_344,1779188
Player_345,1857522
Player_346,4318678
Player_347,575099
Player_348,603827
Player_349,1380376
Player_350,2530337
Player_351,4747311
Player_352,19200127
Player_353,9149333
Player_354,2698141
Player_355,3195264
Player_356,981625
Player_357,3197194
Player_358,2311967
Player_359,4815075
Player_360,1211443
Player_361,6096441
Player_362,20568815
Player_363,2869039
Player_364,5293838
Player_365,7483212
Player_366,2019853
Player_367,4277635
Player_368,3318790
Player_369,3675542
Player_370,1292886
Player_371,3366594
Player_372,5942247
Player_373,18650291
Player_374,10335808
Player_375,43306744
Player_376,1301701
Player_377,9311723
Player_378,4073488
Player_379,45252275
Player_380,1239281
Player_381,1193420
Player_382,1592361
Player_383,255588
Player_384,1739475
Player_385,1314597
Player_386,3915574
Player_387,4926341
Player_388,31059181
Player_389,10226660
Player_390,1635919
Player_391,1112257
Player_392,5899056
Player_393,670460
Player_394,29436634
Player_395,13461282
Player_396,1861678
Player_397,418418
Player_398,16595578
Player_399,2849209
Player_400,14438077
Player_401,482476
Player_402,1592395
Player_403,3289652
Player_404,3458607
Player_405,1904864
Player_406,6902677
Player_407,907869
Player_408,2755596
Player_409,3776675
Player_410,6060643
Player_411,7678523
Player_412,847824
Player_413,518690
Player_414,15145472
Player_415,4870839
Player_416,1331499
Player_417,21028356
Player_418,3755791
Player_419,13458973
Player_420,3544905
Player_421,38759928
Player_422,26866991
Player_423,2424759
Player_424,10489498
Player_425,7091809
Player_426,16892121
Player_427,1026937
Player_428,7446552
Player_429,11641762
Player_430,396135
Player_431,790238
Player_432,282920
Player_433,2366001
Player_434,7733334
Player_435,19832418
Player_436,3572991
Player_437,23076807
Player_438,623982
Player_439,423344
Player_440,3058217
Player_441,5182916
Player_442,3143245
Player_443,273503
Player_444,2937460
Player_445,683264
Player_446,7301621
Player_447,5075410
Player_448,1058268
Player_449,1764467
Player_450,917074
Player_451,3032157
Player_452,10284729
Player_453,1001619
Player_454,5985532
Player_455,1730101
Player_456,1262434
Player_457,2875000
Player_458,943837
Player_459,1682213
Player_460,776495
Player_461,34541434
Player_462,3410318
Player_463,1411734
Player_464,4226039
Player_465,2856781
Player_466,2507599
Player_467,6831125
Player_468,8113251
Player_469,1729596
Player_470,1638051
Player_471,2350028
Player_472,206425
Player_473,530603
Player_474,16856537
Player_475,23534106
Player_476,2424550
Player_477,6529679
Player_478,4749263
Player_479,131518353
Player_480,12528165
Player_481,2803835
Player_482,1038565
Player_483,475567
Player_484,4173044
Player_485,1318992
Player_486,593205
Player_487,1504712
Player_488,892821
Player_489,24755790
Player_490,9416440
Player_491,3237891
Player_492,19306125
Player_493,3587054
Player_494,1162936
Player_495,20332860
Player_496,6241256
Player_497,941570
Player_498,2601486
Player_499,1143104
Player_500,621965
